1/3	65772	[4, 21, 27, 29]	4
1/3	65880	[4, 15, 18, 61]	4
1/3	66960	[5, 8, 31, 54]	4
1/3	68040	[4, 10, 27, 63]	4
1/3	68040	[5, 8, 27, 63]	4
1/3	70200	[4, 10, 27, 65]	4
1/3	70200	[4, 13, 30, 45]	4
1/3	73080	[4, 15, 29, 42]	4
1/3	78120	[4, 10, 31, 63]	4
1/3	78120	[5, 8, 31, 63]	4
1/3	78960	[4, 10, 14, 141]	4
1/3	88200	[4, 15, 21, 70]	4
1/3	97680	[5, 8, 22, 111]	4
1/3	98280	[4, 10, 27, 91]	4
1/3	98280	[4, 13, 30, 63]	4
1/3	98280	[4, 13, 42, 45]	4
1/3	98280	[5, 8, 27, 91]	4
1/3	98820	[4, 15, 27, 61]	4
1/3	102960	[4, 13, 22, 90]	4
1/3	102960	[5, 11, 13, 144]	4
1/3	109620	[4, 15, 29, 63]	4
1/3	113256	[4, 13, 22, 99]	4
1/3	118440	[4, 15, 21, 94]	4
1/3	120960	[5, 7, 48, 72]	4
1/3	121440	[5, 8, 23, 132]	4
1/3	129360	[4, 11, 42, 70]	4
1/3	129600	[8, 9, 10, 12, 15]	5
1/3	136080	[5, 7, 54, 72]	4
1/3	146880	[5, 9, 17, 192]	4
1/3	151800	[4, 10, 23, 165]	4
1/3	151800	[4, 15, 23, 110]	4
1/3	154440	[4, 13, 33, 90]	4
1/3	158400	[8, 10, 11, 12, 15]	5
1/3	161280	[5, 7, 64, 72]	4
1/3	165000	[4, 11, 50, 75]	4
1/3	166320	[4, 11, 42, 90]	4
1/3	166320	[5, 7, 66, 72]	4
1/3	171360	[5, 7, 68, 72]	4
1/3	173880	[5, 7, 69, 72]	4
1/3	178200	[9, 10, 11, 12, 15]	5
1/3	178920	[5, 7, 71, 72]	4
1/3	181440	[5, 7, 48, 108]	4
1/3	181440	[5, 7, 54, 96]	4
1/3	181440	[5, 7, 64, 81]	4
1/3	181440	[8, 9, 10, 12, 21]	5
1/3	182160	[5, 8, 23, 198]	4
1/3	190080	[8, 9, 10, 12, 22]	5
1/3	190080	[8, 9, 11, 12, 20]	5
1/3	194040	[4, 11, 42, 105]	4
1/3	195840	[5, 9, 17, 256]	4
1/3	196560	[5, 7, 52, 108]	4
1/3	196560	[5, 7, 54, 104]	4
1/3	201600	[6, 8, 14, 15, 20]	5
1/3	201600	[6, 10, 14, 15, 16]	5
1/3	210600	[6, 9, 13, 15, 20]	5
1/3	212520	[4, 10, 23, 231]	4
1/3	212520	[4, 15, 23, 154]	4
1/3	212520	[5, 8, 23, 231]	4
1/3	221760	[8, 10, 11, 12, 21]	5
1/3	223080	[4, 11, 65, 78]	4
1/3	224640	[9, 10, 12, 13, 16]	5
1/3	226800	[7, 10, 12, 15, 18]	5
